"filename","download_date","year"
"ZWGE42FL.DBF","2021-07-26",1999
"ZWIR42DT.DTA","2021-07-26",1999
"ZWHR42DT.DTA","2021-07-26",1999
"ZWGE52FL.DBF","2021-07-26",2005
"ZWIR52DT.DTA","2021-07-26",2005
"ZWHR52DT.DTA","2021-07-26",2005
"ZWGE61FL.DBF","2021-07-26",2010
"ZWIR62DT.DTA","2021-07-26",2010
"ZWHR62DT.DTA","2021-07-26",2010
"ZWGE72FL.DBF","2021-07-26",2015
"ZWIR72DT.DTA","2021-07-26",2015
"ZWHR72DT.DTA","2021-07-26",2015
"ZMIR31DT.DTA","2021-07-26",1996
"ZMHR31DT.DTA","2021-07-26",1996
"ZMIR42DT.DTA","2021-07-26",2002
"ZMHR42DT.DTA","2021-07-26",2002
"ZMGE52FL.DBF","2021-07-26",2007
"ZMIR51DT.DTA","2021-07-26",2007
"ZMHR51DT.DTA","2021-07-26",2007
"ZMGE61FL.DBF","2021-07-26",2013
"ZMIR61DT.DTA","2021-07-26",2013
"ZMHR61DT.DTA","2021-07-26",2013
"ZMGE71FL.DBF","2021-07-26",2018
"ZMIR71DT.DTA","2021-07-26",2018
"ZMHR71DT.DTA","2021-07-26",2018
"YEIR61DT.DTA","2021-07-26",2013
"YEHR61DT.DTA","2021-07-26",2013
"VNIR31DT.DTA","2021-07-26",1997
"VNHR31DT.DTA","2021-07-26",1997
"VNIR41DT.DTA","2021-07-26",2002
"VNHR41DT.DTA","2021-07-26",2002
"VNIR52DT.DTA","2021-07-26",2005
"VNHR52DT.DTA","2021-07-26",2005
"UZIR31DT.DTA","2021-07-26",1996
"UZHR31DT.DTA","2021-07-26",1996
"UAIR51DT.DTA","2021-07-26",2007
"UAHR51DT.DTA","2021-07-26",2007
"UGGE43FL.DBF","2021-07-26",2000
"UGIR41DT.DTA","2021-07-26",2000
"UGHR41DT.DTA","2021-07-26",2000
"UGGE53FL.DBF","2021-07-26",2006
"UGIR52DT.DTA","2021-07-26",2006
"UGHR52DT.DTA","2021-07-26",2006
"UGGE5AFL.DBF","2021-07-26",2009
"UGIR5ADT.DTA","2021-07-26",2009
"UGHR5ADT.DTA","2021-07-26",2009
"UGGE61FL.DBF","2021-07-26",2011
"UGIR61DT.DTA","2021-07-26",2011
"UGHR61DT.DTA","2021-07-26",2011
"UGGE6AFL.DBF","2021-07-26",2011
"UGIR6ADT.DTA","2021-07-26",2011
"UGHR6ADT.DTA","2021-07-26",2011
"UGGE71FL.DBF","2021-07-26",2014
"UGIR72DT.DTA","2021-07-26",2014
"UGHR72DT.DTA","2021-07-26",2014
"UGGE7AFL.DBF","2021-07-26",2016
"UGIR7BDT.DTA","2021-07-26",2016
"UGHR7BDT.DTA","2021-07-26",2016
"UGGE7IFL.DBF","2021-07-26",2018
"UGIR7IDT.DTA","2021-07-26",2018
"UGHR7IDT.DTA","2021-07-26",2018
"TRIR41DT.DTA","2021-07-26",1998
"TRHR41DT.DTA","2021-07-26",1998
"TRIR4ADT.DTA","2021-07-26",2003
"TRHR4ADT.DTA","2021-07-26",2003
"TRIR51DT.DTA","2021-07-26",2008
"TRHR51DT.DTA","2021-07-26",2008
"TRIR62DT.DTA","2021-07-26",2013
"TRHR62DT.DTA","2021-07-26",2013
"TGGE32FL.DBF","2021-07-26",1998
"TGIR31DT.DTA","2021-07-26",1998
"TGHR31DT.DTA","2021-07-26",1998
"TGGE62FL.DBF","2021-07-26",2013
"TGIR61DT.DTA","2021-07-26",2013
"TGHR61DT.DTA","2021-07-26",2013
"TGGE71FL.DBF","2021-07-26",2017
"TGIR71DT.DTA","2021-07-26",2017
"TGHR71DT.DTA","2021-07-26",2017
"TLIR61DT.DTA","2021-07-26",2009
"TLHR61DT.DTA","2021-07-26",2009
"TLIR71DT.DTA","2021-07-26",2016
"TLHR71DT.DTA","2021-07-26",2016
"TZIR3ADT.DTA","2021-07-26",1996
"TZHR3ADT.DTA","2021-07-26",1996
"TZGE43FL.DBF","2021-07-26",1999
"TZIR41DT.DTA","2021-07-26",1999
"TZHR41DT.DTA","2021-07-26",1999
"TZGE4CFL.DBF","2021-07-26",2003
"TZIR4ADT.DTA","2021-07-26",2003
"TZHR4ADT.DTA","2021-07-26",2003
"TZIR4IDT.DTA","2021-07-26",2004
"TZHR4IDT.DTA","2021-07-26",2004
"TZGE52FL.DBF","2021-07-26",2007
"TZIR51DT.DTA","2021-07-26",2007
"TZHR51DT.DTA","2021-07-26",2007
"TZGE61FL.DBF","2021-07-26",2010
"TZIR63DT.DTA","2021-07-26",2010
"TZHR63DT.DTA","2021-07-26",2010
"TZGE6AFL.DBF","2021-07-26",2012
"TZIR6ADT.DTA","2021-07-26",2012
"TZHR6ADT.DTA","2021-07-26",2012
"TZGE7AFL.DBF","2021-07-26",2015
"TZIR7BDT.DTA","2021-07-26",2015
"TZHR7BDT.DTA","2021-07-26",2015
"TZGE7IFL.DBF","2021-07-26",2017
"TZIR7IDT.DTA","2021-07-26",2017
"TZHR7IDT.DTA","2021-07-26",2017
"TJGE61FL.DBF","2021-07-26",2012
"TJIR61DT.DTA","2021-07-26",2012
"TJHR61DT.DTA","2021-07-26",2012
"TJGE71FL.DBF","2021-07-26",2017
"TJIR71DT.DTA","2021-07-26",2017
"TJHR71DT.DTA","2021-07-26",2017
"ZAIR31DT.DTA","2021-07-26",1998
"ZAHR31DT.DTA","2021-07-26",1998
"ZAIR71DT.DTA","2021-07-26",2016
"ZAHR71DT.DTA","2021-07-26",2016
"SLGE53FL.DBF","2021-07-26",2008
"SLIR51DT.DTA","2021-07-26",2008
"SLHR51DT.DTA","2021-07-26",2008
"SLGE61FL.DBF","2021-07-26",2013
"SLIR61DT.DTA","2021-07-26",2013
"SLHR61DT.DTA","2021-07-26",2013
"SLGE71FL.DBF","2021-07-26",2016
"SLIR72DT.DTA","2021-07-26",2016
"SLHR72DT.DTA","2021-07-26",2016
"SLGE7AFL.DBF","2021-07-26",2019
"SLIR7ADT.DTA","2021-07-26",2019
"SLHR7ADT.DTA","2021-07-26",2019
"SNGE32FL.DBF","2021-07-26",1997
"SNIR32DT.DTA","2021-07-26",1997
"SNHR32DT.DTA","2021-07-26",1997
"SNGE4BFL.DBF","2021-07-26",2005
"SNIR4ADT.DTA","2021-07-26",2005
"SNHR4ADT.DTA","2021-07-26",2005
"SNIR51DT.DTA","2021-07-26",2006
"SNHR51DT.DTA","2021-07-26",2006
"SNGE5AFL.DBF","2021-07-26",2008
"SNIR5ADT.DTA","2021-07-26",2008
"SNHR5ADT.DTA","2021-07-26",2008
"SNGE61FL.DBF","2021-07-26",2010
"SNIR61DT.DTA","2021-07-26",2010
"SNHR61DT.DTA","2021-07-26",2010
"SNGE6AFL.DBF","2021-07-26",2012
"SNIR6DDT.DTA","2021-07-26",2012
"SNHR6DDT.DTA","2021-07-26",2012
"SNGE7AFL.DBF","2021-07-26",2015
"SNIR7HDT.DTA","2021-07-26",2015
"SNHR7HDT.DTA","2021-07-26",2015
"SNGE7IFL.DBF","2021-07-26",2016
"SNGE7RFL.DBF","2021-07-26",2017
"SNIR7ZDT.DTA","2021-07-26",2017
"SNHR7ZDT.DTA","2021-07-26",2017
"SNGE81FL.DBF","2021-07-26",2018
"SNIR81DT.DTA","2021-07-26",2018
"SNHR81DT.DTA","2021-07-26",2018
"STIR51DT.DTA","2021-07-26",2008
"STHR51DT.DTA","2021-07-26",2008
"RWIR41DT.DTA","2021-07-26",2000
"RWHR41DT.DTA","2021-07-26",2000
"RWGE54FL.DBF","2021-07-26",2005
"RWIR53DT.DTA","2021-07-26",2005
"RWHR53DT.DTA","2021-07-26",2005
"RWGE5BFL.DBF","2021-07-26",2008
"RWIR5ADT.DTA","2021-07-26",2008
"RWHR5ADT.DTA","2021-07-26",2008
"RWGE61FL.DBF","2021-07-26",2010
"RWIR61DT.DTA","2021-07-26",2010
"RWHR61DT.DTA","2021-07-26",2010
"RWIR6IDT.DTA","2021-07-26",2013
"RWHR6IDT.DTA","2021-07-26",2013
"RWGE72FL.DBF","2021-07-26",2015
"RWIR70DT.DTA","2021-07-26",2015
"RWHR70DT.DTA","2021-07-26",2015
"RWIR7ADT.DTA","2021-07-26",2017
"RWHR7ADT.DTA","2021-07-26",2017
"PHIR3BDT.DTA","2021-07-26",1998
"PHHR3BDT.DTA","2021-07-26",1998
"PHGE43FL.DBF","2021-07-26",2003
"PHIR41DT.DTA","2021-07-26",2003
"PHHR41DT.DTA","2021-07-26",2003
"PHGE52FL.DBF","2021-07-26",2008
"PHIR52DT.DTA","2021-07-26",2008
"PHHR52DT.DTA","2021-07-26",2008
"PHIR61DT.DTA","2021-07-26",2013
"PHHR61DT.DTA","2021-07-26",2013
"PHGE71FL.DBF","2021-07-26",2017
"PHIR71DT.DTA","2021-07-26",2017
"PHHR71DT.DTA","2021-07-26",2017
"PEIR31DT.DTA","2021-07-26",1996
"PEHR31DT.DTA","2021-07-26",1996
"PEGE44FL.DBF","2021-07-26",2000
"PEIR41DT.DTA","2021-07-26",2000
"PEHR41DT.DTA","2021-07-26",2000
"PEGE52FL.DBF","2021-07-26",2004
"PEIR51DT.DTA","2021-07-26",2004
"PEHR51DT.DTA","2021-07-26",2004
"PEGE5BFL.DBF","2021-07-26",2007
"PEIR5ADT.DTA","2021-07-26",2007
"PEHR5ADT.DTA","2021-07-26",2007
"PEGE5IFL.DBF","2021-07-26",2009
"PEIR5IDT.DTA","2021-07-26",2009
"PEHR5IDT.DTA","2021-07-26",2009
"PEIR61DT.DTA","2021-07-26",2010
"PEHR61DT.DTA","2021-07-26",2010
"PEIR6ADT.DTA","2021-07-26",2011
"PEHR6ADT.DTA","2021-07-26",2011
"PEIR6IDT.DTA","2021-07-26",2012
"PEHR6IDT.DTA","2021-07-26",2012
"PKGE51FL.DBF","2021-07-26",2006
"PKIR52DT.DTA","2021-07-26",2006
"PKHR52DT.DTA","2021-07-26",2006
"PKIR61DT.DTA","2021-07-26",2012
"PKHR61DT.DTA","2021-07-26",2012
"PKGE71FL.DBF","2021-07-26",2017
"PKIR71DT.DTA","2021-07-26",2017
"PKHR71DT.DTA","2021-07-26",2017
"NGGE4BFL.DBF","2021-07-26",2003
"NGIR4BDT.DTA","2021-07-26",2003
"NGHR4BDT.DTA","2021-07-26",2003
"NGGE52FL.DBF","2021-07-26",2008
"NGIR53DT.DTA","2021-07-26",2008
"NGHR53DT.DTA","2021-07-26",2008
"NGGE61FL.DBF","2021-07-26",2010
"NGIR61DT.DTA","2021-07-26",2010
"NGHR61DT.DTA","2021-07-26",2010
"NGGE6AFL.DBF","2021-07-26",2013
"NGIR6ADT.DTA","2021-07-26",2013
"NGHR6ADT.DTA","2021-07-26",2013
"NGGE71FL.DBF","2021-07-26",2015
"NGIR71DT.DTA","2021-07-26",2015
"NGHR71DT.DTA","2021-07-26",2015
"NGGE7BFL.DBF","2021-07-26",2018
"NGIR7BDT.DTA","2021-07-26",2018
"NGHR7BDT.DTA","2021-07-26",2018
"NIGE32FL.DBF","2021-07-26",1998
"NIIR31DT.DTA","2021-07-26",1998
"NIHR31DT.DTA","2021-07-26",1998
"NIIR51DT.DTA","2021-07-26",2006
"NIHR51DT.DTA","2021-07-26",2006
"NIIR61DT.DTA","2021-07-26",2012
"NIHR61DT.DTA","2021-07-26",2012
"NCIR31DT.DTA","2021-07-26",1998
"NCHR31DT.DTA","2021-07-26",1998
"NCIR41DT.DTA","2021-07-26",2001
"NCHR41DT.DTA","2021-07-26",2001
"NPIR31DT.DTA","2021-07-26",1996
"NPHR31DT.DTA","2021-07-26",1996
"NPGE42FL.DBF","2021-07-26",2001
"NPIR41DT.DTA","2021-07-26",2001
"NPHR41DT.DTA","2021-07-26",2001
"NPGE53FL.DBF","2021-07-26",2006
"NPIR51DT.DTA","2021-07-26",2006
"NPHR51DT.DTA","2021-07-26",2006
"NPGE61FL.DBF","2021-07-26",2011
"NPIR61DT.DTA","2021-07-26",2011
"NPHR61DT.DTA","2021-07-26",2011
"NPGE7AFL.DBF","2021-07-26",2016
"NPIR7HDT.DTA","2021-07-26",2016
"NPHR7HDT.DTA","2021-07-26",2016
"NMGE42FL.DBF","2021-07-26",2000
"NMIR41DT.DTA","2021-07-26",2000
"NMHR41DT.DTA","2021-07-26",2000
"NMGE53FL.DBF","2021-07-26",2006
"NMIR51DT.DTA","2021-07-26",2006
"NMHR51DT.DTA","2021-07-26",2006
"NMGE61FL.DBF","2021-07-26",2013
"NMIR61DT.DTA","2021-07-26",2013
"NMHR61DT.DTA","2021-07-26",2013
"MMGE71FL.DBF","2021-07-26",2016
"MMIR71DT.DTA","2021-07-26",2016
